# Tessera TSV interconnect transfer function (single signal line, center signal + ground ring).
# geometry: radius=5um pitch=60um height=100um liner=0.5um. See README.md for provenance/caveats.
# columns: freq_hz, s21_re, s21_im, s21_abs_db, s21_phase_deg, s11_re, s11_im, s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.150000e+10,2.94058697e-01,-5.27061730e-01,-4.3858,-60.8419,-6.96291689e-01,-3.88475610e-01,-1.9672
2.175000e+10,2.96306964e-01,-5.19766288e-01,-4.4617,-60.3135,-6.96108287e-01,-3.96835536e-01,-1.9243
2.200000e+10,2.98515267e-01,-5.12058613e-01,-4.5430,-59.7591,-6.95805548e-01,-4.05634382e-01,-1.8797
2.225000e+10,3.00653681e-01,-5.03999633e-01,-4.6293,-59.1824,-6.95360748e-01,-4.14807383e-01,-1.8337
2.250000e+10,3.02694606e-01,-4.95659872e-01,-4.7198,-58.5880,-6.94754582e-01,-4.24279786e-01,-1.7868
2.275000e+10,3.04616716e-01,-4.87098203e-01,-4.8141,-57.9794,-6.93972018e-01,-4.33989441e-01,-1.7396
2.300000e+10,3.06401233e-01,-4.78375570e-01,-4.9117,-57.3603,-6.93003309e-01,-4.43871054e-01,-1.6923
2.325000e+10,3.08035087e-01,-4.69553726e-01,-5.0118,-56.7345,-6.91841754e-01,-4.53859747e-01,-1.6454
2.350000e+10,3.09509460e-01,-4.60682840e-01,-5.1141,-56.1048,-6.90485358e-01,-4.63902129e-01,-1.5991
2.375000e+10,3.10818735e-01,-4.51813551e-01,-5.2180,-55.4745,-6.88936357e-01,-4.73944011e-01,-1.5536
2.400000e+10,3.11961679e-01,-4.42991925e-01,-5.3230,-54.8462,-6.87199738e-01,-4.83936551e-01,-1.5093
2.425000e+10,3.12939981e-01,-4.34255688e-01,-5.4286,-54.2221,-6.85283334e-01,-4.93839365e-01,-1.4661
2.450000e+10,3.13758231e-01,-4.25639963e-01,-5.5344,-53.6044,-6.83197074e-01,-5.03615083e-01,-1.4243
2.475000e+10,3.14422833e-01,-4.17174194e-01,-5.6400,-52.9948,-6.80952924e-01,-5.13232004e-01,-1.3840
