# Tessera TSV -- PUBLIC checkpoint, SCALE-MODEL evaluation at the pipeline's Ka band. This IS InterconnectBlock(source='tessera')'s DEFAULT over 28.5-31.5 GHz (band_hz with scale=None), NOT a direct evaluation of the shipped geometry at these frequencies -- compare against the in-band slice of tessera_tsv_s21_public.csv, which differs measurably (see each file's in-band mean/ripple in e2e/data/interconnect/README.md).
# presented geometry: radius 2.5 um, pitch 30 um, height 50 um, liner 0.25 um, 300 K
# model geometry actually evaluated: radius 5 um, pitch 60 um, height 100 um, liner 0.5 um, 300 K -- scale x2 applied to all four lengths together (F91), frequency evaluated at /2 and reported at the real Ka frequencies
# arrangement: ring3x3
# checkpoint: models/best_model.pth, commit e53bb885429586fb01209c82bb5c684f778b8cf4, sha256 97fb2a651bf475d124609e16e0feeecd7e97c8e1d5f494696bab9b838c6d3e09
# wrapper: e2e_sim_public commit 88f6240434f6371b37db45c8fb909f19b6b6bfb7, TesseraTSV.OUTPUT_VERSION=1
# scale: 2 -- auto-resolved by e2e.blocks._resolve_tessera_scale for this band (see F91, notes/ESTABLISHED_FACTS.md); NOT the direct evaluation
# generated: 2026-09-23
# command: python -m e2e.data.interconnect.regenerate_tessera_tsv
# phase is the surrogate's OWN phase (not a minimum-phase reconstruction).
# columns: freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.898000e+10,9.27106142e-01,-1.47831410e-01,-0.548368,-9.059810,-5.04932478e-02,-2.76470780e-02,-24.796568
2.899000e+10,9.27097082e-01,-1.47870168e-01,-0.548395,-9.062232,-5.05011752e-02,-2.76514217e-02,-24.795204
2.900000e+10,9.27088141e-01,-1.47908807e-01,-0.548420,-9.064647,-5.05090281e-02,-2.76557133e-02,-24.793854
2.901000e+10,9.27079082e-01,-1.47947669e-01,-0.548446,-9.067076,-5.05169705e-02,-2.76600569e-02,-24.792489
2.902000e+10,9.27069962e-01,-1.47986248e-01,-0.548473,-9.069489,-5.05248532e-02,-2.76643857e-02,-24.791133
2.903000e+10,9.27060843e-01,-1.48025051e-01,-0.548500,-9.071915,-5.05327210e-02,-2.76686996e-02,-24.789780
2.904000e+10,9.27051902e-01,-1.48063749e-01,-0.548525,-9.074334,-5.05406186e-02,-2.76730210e-02,-24.788423
2.905000e+10,9.27042723e-01,-1.48102507e-01,-0.548553,-9.076758,-5.05485386e-02,-2.76773572e-02,-24.787062
2.906000e+10,9.27033722e-01,-1.48141220e-01,-0.548578,-9.079178,-5.05564362e-02,-2.76816934e-02,-24.785704
2.907000e+10,9.27024543e-01,-1.48179963e-01,-0.548606,-9.081601,-5.05643189e-02,-2.76860073e-02,-24.784350
2.908000e+10,9.27015662e-01,-1.48218691e-01,-0.548630,-9.084021,-5.05722091e-02,-2.76903063e-02,-24.782996
2.909000e+10,9.27006602e-01,-1.48257419e-01,-0.548656,-9.086442,-5.05800992e-02,-2.76946276e-02,-24.781641
2.910000e+10,9.26997483e-01,-1.48296103e-01,-0.548683,-9.088861,-5.05879447e-02,-2.76989564e-02,-24.780291
2.911000e+10,9.26988482e-01,-1.48334816e-01,-0.548709,-9.091281,-5.05958200e-02,-2.77032480e-02,-24.778941
2.912000e+10,9.26979363e-01,-1.48373619e-01,-0.548735,-9.093707,-5.06036803e-02,-2.77075768e-02,-24.777590
2.913000e+10,9.26970422e-01,-1.48412213e-01,-0.548761,-9.096119,-5.06115928e-02,-2.77118906e-02,-24.776233
2.914000e+10,9.26961243e-01,-1.48450971e-01,-0.548788,-9.098544,-5.06194606e-02,-2.77162045e-02,-24.774882
2.915000e+10,9.26952302e-01,-1.48489580e-01,-0.548813,-9.100957,-5.06273136e-02,-2.77205333e-02,-24.773533
2.916000e+10,9.26943064e-01,-1.48528367e-01,-0.548841,-9.103383,-5.06351665e-02,-2.77248695e-02,-24.772183
2.917000e+10,9.26934004e-01,-1.48567036e-01,-0.548867,-9.105801,-5.06430715e-02,-2.77291685e-02,-24.770829
2.918000e+10,9.26925182e-01,-1.48605764e-01,-0.548891,-9.108220,-5.06509244e-02,-2.77334973e-02,-24.769480
2.919000e+10,9.26915944e-01,-1.48644507e-01,-0.548918,-9.110645,-5.06587401e-02,-2.77377963e-02,-24.768139
2.920000e+10,9.26906884e-01,-1.48683205e-01,-0.548944,-9.113064,-5.06666228e-02,-2.77421176e-02,-24.766787
2.921000e+10,9.26897824e-01,-1.48721889e-01,-0.548970,-9.115483,-5.06744757e-02,-2.77464315e-02,-24.765440
2.922000e+10,9.26888764e-01,-1.48760617e-01,-0.548996,-9.117904,-5.06823286e-02,-2.77507380e-02,-24.764093
2.923000e+10,9.26879764e-01,-1.48799315e-01,-0.549022,-9.120324,-5.06901518e-02,-2.77550220e-02,-24.762753
2.924000e+10,9.26870525e-01,-1.48838058e-01,-0.549049,-9.122748,-5.06980196e-02,-2.77593434e-02,-24.761404
2.925000e+10,9.26861584e-01,-1.48876712e-01,-0.549074,-9.125164,-5.07058874e-02,-2.77636498e-02,-24.760056
2.926000e+10,9.26852524e-01,-1.48915380e-01,-0.549100,-9.127582,-5.07137477e-02,-2.77679637e-02,-24.758709
2.927000e+10,9.26843286e-01,-1.48954079e-01,-0.549128,-9.130003,-5.07215410e-02,-2.77722627e-02,-24.757372
2.928000e+10,9.26834345e-01,-1.48992747e-01,-0.549153,-9.132420,-5.07293865e-02,-2.77765691e-02,-24.756028
2.929000e+10,9.26825285e-01,-1.49031416e-01,-0.549179,-9.134838,-5.07371947e-02,-2.77808830e-02,-24.754688
2.930000e+10,9.26816285e-01,-1.49070114e-01,-0.549204,-9.137257,-5.07450476e-02,-2.77851894e-02,-24.753343
2.931000e+10,9.26807165e-01,-1.49108797e-01,-0.549231,-9.139677,-5.07528707e-02,-2.77894735e-02,-24.752004
2.932000e+10,9.26798165e-01,-1.49147496e-01,-0.549256,-9.142096,-5.07606938e-02,-2.77938098e-02,-24.750662
2.933000e+10,9.26789045e-01,-1.49186209e-01,-0.549282,-9.144517,-5.07685468e-02,-2.77981162e-02,-24.749318
2.934000e+10,9.26779985e-01,-1.49224862e-01,-0.549308,-9.146934,-5.07763103e-02,-2.78023928e-02,-24.747988
2.935000e+10,9.26771104e-01,-1.49263471e-01,-0.549333,-9.149347,-5.07841632e-02,-2.78066918e-02,-24.746645
2.936000e+10,9.26761985e-01,-1.49302170e-01,-0.549359,-9.151768,-5.07919714e-02,-2.78109983e-02,-24.745307
2.937000e+10,9.26752806e-01,-1.49340793e-01,-0.549386,-9.154184,-5.07998094e-02,-2.78152972e-02,-24.743966
2.938000e+10,9.26743865e-01,-1.49379537e-01,-0.549411,-9.156606,-5.08076027e-02,-2.78195888e-02,-24.742632
2.939000e+10,9.26734805e-01,-1.49418205e-01,-0.549436,-9.159024,-5.08154258e-02,-2.78238729e-02,-24.741295
2.940000e+10,9.26725984e-01,-1.49456859e-01,-0.549460,-9.161439,-5.08232266e-02,-2.78281942e-02,-24.739958
2.941000e+10,9.26716626e-01,-1.49495497e-01,-0.549489,-9.163858,-5.08310273e-02,-2.78324857e-02,-24.738623
2.942000e+10,9.26707625e-01,-1.49534196e-01,-0.549514,-9.166277,-5.08388355e-02,-2.78367698e-02,-24.737289
2.943000e+10,9.26698446e-01,-1.49572849e-01,-0.549541,-9.168696,-5.08466437e-02,-2.78410539e-02,-24.735954
2.944000e+10,9.26689565e-01,-1.49611562e-01,-0.549565,-9.171115,-5.08544371e-02,-2.78453678e-02,-24.734619
2.945000e+10,9.26680446e-01,-1.49650186e-01,-0.549591,-9.173531,-5.08622155e-02,-2.78496593e-02,-24.733289
2.946000e+10,9.26671326e-01,-1.49688885e-01,-0.549617,-9.175952,-5.08700460e-02,-2.78539285e-02,-24.731953
2.947000e+10,9.26662445e-01,-1.49727494e-01,-0.549641,-9.178365,-5.08778170e-02,-2.78582573e-02,-24.730621
2.948000e+10,9.26653266e-01,-1.49766162e-01,-0.549668,-9.180784,-5.08855805e-02,-2.78625041e-02,-24.729296
2.949000e+10,9.26644146e-01,-1.49804801e-01,-0.549694,-9.183201,-5.08933589e-02,-2.78668180e-02,-24.727964
2.950000e+10,9.26635087e-01,-1.49843469e-01,-0.549720,-9.185619,-5.09011671e-02,-2.78711095e-02,-24.726630
2.951000e+10,9.26625967e-01,-1.49882063e-01,-0.549746,-9.188034,-5.09089455e-02,-2.78753936e-02,-24.725301
2.952000e+10,9.26617146e-01,-1.49920717e-01,-0.549770,-9.190449,-5.09167239e-02,-2.78797001e-02,-24.723971
