# Tessera TSV -- PUBLIC checkpoint, DIRECT evaluation (not the scale model).
# geometry: radius 5 um, pitch 60 um, height 100 um, liner 0.5 um, 300 K -- SHIPPED_TSV_DESIGN, upstream's own canonical demo geometry (README quickstart / examples/predict_smatrix.py / config.yaml optimization.fixed_params; see F90 in notes/ESTABLISHED_FACTS.md)
# arrangement: ring3x3 (one center signal via, ground ring)
# checkpoint: models/best_model.pth, commit e53bb885429586fb01209c82bb5c684f778b8cf4, sha256 97fb2a651bf475d124609e16e0feeecd7e97c8e1d5f494696bab9b838c6d3e09
# wrapper: e2e_sim_public commit 88f6240434f6371b37db45c8fb909f19b6b6bfb7, TesseraTSV.OUTPUT_VERSION=1
# scale: 1.0 -- this is the DIRECT evaluation at the geometry above, NOT the scale model (see tessera_tsv_s21_public_ka_scaled.csv for that)
# generated: 2026-09-23
# command: python -m e2e.data.interconnect.regenerate_tessera_tsv
# phase is the surrogate's OWN phase (not a minimum-phase reconstruction).
# columns: freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
1.575000e+10,9.24824715e-01,-1.57541543e-01,-0.554581,-9.667393,-5.24106100e-02,-2.87148952e-02,-24.471594
1.600000e+10,9.24372435e-01,-1.59456491e-01,-0.555712,-9.787339,-5.27734086e-02,-2.89218277e-02,-24.411109
1.625000e+10,9.23920393e-01,-1.61367670e-01,-0.556810,-9.907086,-5.31304926e-02,-2.91272104e-02,-24.351868
1.650000e+10,9.23468351e-01,-1.63275480e-01,-0.557875,-10.026660,-5.34819737e-02,-2.93312073e-02,-24.293822
1.675000e+10,9.23016250e-01,-1.65179819e-01,-0.558909,-10.146055,-5.38278446e-02,-2.95338929e-02,-24.236946
1.700000e+10,9.22564507e-01,-1.67080685e-01,-0.559908,-10.265265,-5.41681275e-02,-2.97353044e-02,-24.181215
1.725000e+10,9.22112584e-01,-1.68978378e-01,-0.560876,-10.384313,-5.45029119e-02,-2.99354345e-02,-24.126598
1.750000e+10,9.21660662e-01,-1.70872778e-01,-0.561812,-10.503190,-5.48322424e-02,-3.01344395e-02,-24.073060
1.775000e+10,9.21208978e-01,-1.72764197e-01,-0.562714,-10.621909,-5.51562011e-02,-3.03323567e-02,-24.020572
1.800000e+10,9.20757294e-01,-1.74652621e-01,-0.563583,-10.740473,-5.54748252e-02,-3.05292010e-02,-23.969110
1.825000e+10,9.20305490e-01,-1.76538274e-01,-0.564422,-10.858895,-5.57881817e-02,-3.07250917e-02,-23.918643
1.850000e+10,9.19853687e-01,-1.78421006e-01,-0.565229,-10.977164,-5.60963228e-02,-3.09200436e-02,-23.869147
1.875000e+10,9.19401646e-01,-1.80301070e-01,-0.566005,-11.095298,-5.63992783e-02,-3.11140940e-02,-23.820602
1.900000e+10,9.18949604e-01,-1.82178527e-01,-0.566750,-11.213295,-5.66971973e-02,-3.13073099e-02,-23.772970
1.925000e+10,9.18497324e-01,-1.84053540e-01,-0.567464,-11.331169,-5.69900274e-02,-3.14997807e-02,-23.726240
1.950000e+10,9.18045044e-01,-1.85926065e-01,-0.568146,-11.448912,-5.72778657e-02,-3.16914469e-02,-23.680389
1.975000e+10,9.17592227e-01,-1.87796280e-01,-0.568801,-11.566541,-5.75608835e-02,-3.18824798e-02,-23.635374
2.000000e+10,9.17139292e-01,-1.89664334e-01,-0.569425,-11.684060,-5.78389987e-02,-3.20727900e-02,-23.591199
2.025000e+10,9.16686058e-01,-1.91530257e-01,-0.570018,-11.801471,-5.81123605e-02,-3.22625190e-02,-23.547825
2.050000e+10,9.16232467e-01,-1.93394154e-01,-0.570582,-11.918781,-5.83809987e-02,-3.24516669e-02,-23.505238
2.075000e+10,9.15778637e-01,-1.95256025e-01,-0.571116,-12.035987,-5.86450025e-02,-3.26402411e-02,-23.463417
2.100000e+10,9.15324092e-01,-1.97116151e-01,-0.571624,-12.153113,-5.89044467e-02,-3.28283310e-02,-23.422337
2.125000e+10,9.14869189e-01,-1.98974445e-01,-0.572102,-12.270146,-5.91593459e-02,-3.30159143e-02,-23.381988
2.150000e+10,9.14413810e-01,-2.00831175e-01,-0.572551,-12.387105,-5.94098195e-02,-3.32030579e-02,-23.342343
2.175000e+10,9.13957596e-01,-2.02686131e-01,-0.572976,-12.503980,-5.96558824e-02,-3.33897844e-02,-23.303390
2.200000e+10,9.13500905e-01,-2.04539776e-01,-0.573371,-12.620794,-5.98976687e-02,-3.35760936e-02,-23.265105
2.225000e+10,9.13043380e-01,-2.06391931e-01,-0.573740,-12.737541,-6.01351634e-02,-3.37620899e-02,-23.227475
2.250000e+10,9.12585139e-01,-2.08242774e-01,-0.574083,-12.854229,-6.03685603e-02,-3.39476839e-02,-23.190476
2.275000e+10,9.12126303e-01,-2.10092455e-01,-0.574398,-12.970864,-6.05978146e-02,-3.41329724e-02,-23.154100
2.300000e+10,9.11666214e-01,-2.11941034e-01,-0.574690,-13.087459,-6.08230308e-02,-3.43179777e-02,-23.118326
2.325000e+10,9.11205530e-01,-2.13788509e-01,-0.574954,-13.204004,-6.10443130e-02,-3.45026627e-02,-23.083138
2.350000e+10,9.10743713e-01,-2.15635061e-01,-0.575194,-13.320516,-6.12616464e-02,-3.46870944e-02,-23.048526
2.375000e+10,9.10280585e-01,-2.17480808e-01,-0.575412,-13.437005,-6.14751801e-02,-3.48712876e-02,-23.014467
2.400000e+10,9.09816980e-01,-2.19325706e-01,-0.575600,-13.553456,-6.16849139e-02,-3.50551903e-02,-22.980958
2.425000e+10,9.09351647e-01,-2.21169889e-01,-0.575769,-13.669894,-6.18909970e-02,-3.52388844e-02,-22.947973
2.450000e+10,9.08885360e-01,-2.23013401e-01,-0.575913,-13.786310,-6.20934144e-02,-3.54223847e-02,-22.915504
2.475000e+10,9.08417761e-01,-2.24856511e-01,-0.576034,-13.902725,-6.22923151e-02,-3.56056467e-02,-22.883535
2.500000e+10,9.07948613e-01,-2.26699069e-01,-0.576133,-14.019132,-6.24877140e-02,-3.57887074e-02,-22.852055
2.525000e+10,9.07478213e-01,-2.28541285e-01,-0.576209,-14.135540,-6.26796409e-02,-3.59715670e-02,-22.821057
2.550000e+10,9.07006264e-01,-2.30383188e-01,-0.576264,-14.251955,-6.28682151e-02,-3.61542180e-02,-22.790522
2.575000e+10,9.06532884e-01,-2.32224911e-01,-0.576296,-14.368381,-6.30534962e-02,-3.63366678e-02,-22.760441
2.600000e+10,9.06057715e-01,-2.34066486e-01,-0.576309,-14.484827,-6.32355586e-02,-3.65189537e-02,-22.730797
2.625000e+10,9.05580640e-01,-2.35908031e-01,-0.576303,-14.601300,-6.34144470e-02,-3.67010310e-02,-22.701585
2.650000e+10,9.05102253e-01,-2.37749562e-01,-0.576273,-14.717792,-6.35901913e-02,-3.68828923e-02,-22.672798
2.675000e+10,9.04621720e-01,-2.39591062e-01,-0.576227,-14.834315,-6.37628958e-02,-3.70645747e-02,-22.644419
2.700000e+10,9.04139638e-01,-2.41432801e-01,-0.576157,-14.950874,-6.39326051e-02,-3.72460559e-02,-22.616439
2.725000e+10,9.03655291e-01,-2.43274778e-01,-0.576072,-15.067481,-6.40994087e-02,-3.74272764e-02,-22.588850
